shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Route_109,41.6472578427973,-4.7014255800371,71474,7541
Route_109,41.647229782853,-4.70130219842233,71475,7552
Route_109,41.6471937057636,-4.7011385836723,71476,7566
Route_109,41.6471158724128,-4.70087289762604,71477,7590
Route_109,41.6471070349186,-4.70083437434468,71478,7593
Route_109,41.6470719599042,-4.70071903935696,71479,7604
Route_109,41.6470188462746,-4.70050848594915,71480,7622
Route_109,41.6469767561973,-4.7003556000352,71481,7636
Route_109,41.6469386746752,-4.70021344295731,71482,7648
Route_109,41.646907495277,-4.70010540511948,71483,7658
Route_109,41.6468921680405,-4.70005844115999,71484,7662
Route_109,41.6468450671454,-4.69988946199194,71485,7677
Route_109,41.6468160048737,-4.69977412700423,71486,7687
Route_109,41.6468099919883,-4.69974730491406,71487,7690
Route_109,41.6467999705114,-4.69972584724192,71488,7692
Route_109,41.6467869425889,-4.69971109509232,71489,7694
Route_109,41.6467665348001,-4.69970820178049,71490,7696
Route_109,41.6467461270045,-4.69971335507487,71491,7698
Route_109,41.6467161672918,-4.69972050820651,71492,7701
Route_109,41.6466560383189,-4.69974598919218,71493,7708
Route_109,41.6465923840604,-4.69976976141866,71494,7716
Route_109,41.6465698533599,-4.69977817570039,71495,7718
Route_109,41.6465247565333,-4.69978622232743,71496,7723
Route_109,41.6464816639864,-4.69979963337251,71497,7728
Route_109,41.646415522377,-4.69982511435818,71498,7736
Route_109,41.6463624082062,-4.69985193644836,71499,7742
Route_109,41.6461870313608,-4.69993106161439,71500,7763
Route_109,41.6461098652018,-4.69997665916767,71501,7772
Route_109,41.6460627637346,-4.70000884567588,71502,7778
Route_109,41.6460326989502,-4.70003566776606,71503,7782
Route_109,41.6459956190303,-4.70007187758779,71504,7787
Route_109,41.6458944011705,-4.70018855368006,71505,7802
Route_109,41.645674927349,-4.70043531690967,71506,7834
Route_109,41.6455426418684,-4.70058820282368,71507,7853
Route_109,41.645294104286,-4.70088056360659,71508,7890
Route_109,41.6452683088103,-4.70092358454302,71509,7895
Route_109,41.6452276701903,-4.70096288281635,71510,7901
Route_109,41.644979130998,-4.70126329022622,71511,7938
Route_109,41.6447065385234,-4.70156906205412,71512,7977
Route_109,41.6443821708098,-4.7019578341579,71513,8026
Route_109,41.6440494444044,-4.70233870783826,71514,8075
Route_109,41.6437739205509,-4.70267047398402,71515,8116
Route_109,41.6432888587115,-4.70322032683244,71516,8186
Route_109,41.6427115892731,-4.70386137478742,71517,8270
Route_109,41.6424211988018,-4.7041721950007,71518,8311
Route_109,41.6424008831157,-4.70419399554163,71519,8314
Route_109,41.6423243149298,-4.70427729538664,71520,8325
Route_109,41.6423174940991,-4.70428471587305,71521,8326
Route_109,41.642306465932,-4.7042967135809,71522,8327
Route_109,41.6422776104057,-4.70432810599248,71523,8332
Route_109,41.6422555616032,-4.70434017593304,71524,8334
Route_109,41.6422375216685,-4.70434822256011,71525,8336
Route_109,41.6422224883857,-4.7043482225601,71526,8338
Route_109,41.6422004395646,-4.70434151703755,71527,8340
Route_109,41.6421723774176,-4.70432408267895,71528,8344
Route_109,41.6421523330195,-4.70429457837977,71529,8347
Route_109,41.6420771971936,-4.70418171800812,71530,8360
Route_109,41.642062312102,-4.70415702488834,71531,8363
Route_109,41.6419450520842,-4.70396658804817,71532,8383
Route_109,41.6418839164348,-4.70387539294159,71533,8393
Route_109,41.6418318007534,-4.70378688004405,71534,8403
Route_109,41.6417776805782,-4.70368093278788,71535,8413
Route_109,41.6417255648108,-4.70357766774074,71536,8424
Route_109,41.6416654313335,-4.70341941740875,71537,8439
Route_109,41.6416123132469,-4.70325982597226,71538,8453
Route_109,41.6415802419282,-4.70316058423864,71539,8462
Route_109,41.6415531817405,-4.70309352901322,71540,8468
Route_109,41.6415271242507,-4.70302781489231,71541,8475
Route_109,41.641490041738,-4.70295271303986,71542,8482
Route_109,41.6414709993582,-4.70292320874066,71543,8485
Route_109,41.6414489502799,-4.70288699891893,71544,8489
Route_109,41.641409863259,-4.70283201363409,71545,8496
Route_109,41.6413787940717,-4.70279043939433,71546,8500
Route_109,41.6413627583561,-4.70277300503574,71547,8503
Route_109,41.6413457204116,-4.70276495840867,71548,8505
Route_109,41.6413232511344,-4.70275242738158,71549,8507
Route_109,41.641295770653,-4.7027425786014,71550,8511
Route_109,41.6412718746841,-4.70273065169251,71551,8514
Route_109,41.6412428098986,-4.70271053512488,71552,8517
Route_109,41.6412187562731,-4.70269444187079,71553,8520
Route_109,41.6411987115784,-4.70267030198963,71554,8523
Route_109,41.6411716512304,-4.70262068112282,71555,8529
Route_109,41.6411485998141,-4.70255899031544,71556,8534
Route_109,41.6411285550975,-4.70249595840355,71557,8540
Route_109,41.6411175305008,-4.70243963201419,71558,8545
Route_109,41.6411145237923,-4.70238732893836,71559,8549
Route_109,41.6411155260285,-4.70232697923549,71560,8554
Route_109,41.6411155260285,-4.70229479272729,71561,8557
Route_109,41.6411225416814,-4.70225858290557,71562,8560
Route_109,41.6411320928975,-4.70222474064407,71563,8563
Route_109,41.6411455908435,-4.70220173319473,71564,8565
Route_109,41.6411733837473,-4.70215296073813,71565,8570
Route_109,41.6412062303121,-4.70210883640254,71566,8575
Route_109,41.6412363457962,-4.70207087473031,71567,8580
Route_109,41.6412704702015,-4.70204364173044,71568,8584
Route_109,41.6413307010957,-4.7020213624026,71569,8591
Route_109,41.6413749930556,-4.70200899025513,71570,8596
Route_109,41.6414072883946,-4.70201105751539,71571,8600
Route_109,41.6414897244399,-4.70202991418094,71572,8609
Route_109,41.6415092679285,-4.70202924362115,71573,8611
Route_109,41.64153482479,-4.70202522030763,71574,8614
Route_109,41.6416190120444,-4.70201650312242,71575,8624
Route_109,41.641678143475,-4.70200040986833,71576,8630
Route_109,41.6417673416549,-4.70198163440521,71577,8640
Route_109,41.6418585441609,-4.70195078900153,71578,8651
Route_109,41.6419126642673,-4.70193335465634,71579,8657
Route_109,41.6419437331994,-4.70191860247867,71580,8661
Route_109,41.6419778087827,-4.70189848591104,71581,8665
Route_109,41.6420209043476,-4.70186361719383,71582,8670
Route_109,41.6420997443104,-4.70178839327823,71583,8681
Route_109,41.6421937910423,-4.70170020658556,71584,8694
Route_109,41.6422900040346,-4.701609011479,71585,8707
Route_109,41.6423641681181,-4.70152318079046,71586,8718
Route_109,41.6424784207284,-4.70138907033961,71587,8735
Route_109,41.6425946775624,-4.70124959547076,71588,8752
Route_109,41.6427269705545,-4.70107793409369,71589,8773
Route_109,41.6428572578691,-4.7009035905076,71590,8793
Route_109,41.6429835360917,-4.70070778924939,71591,8815
Route_109,41.6431038008357,-4.7005012591551,71592,8836
Route_109,41.6431899922265,-4.70034032661411,71593,8853
Route_109,41.6433242874123,-4.70006137687636,71594,8880
Route_109,41.6433884282978,-4.69992994863455,71595,8893
Route_109,41.643454573519,-4.69976365167551,71596,8909
Route_109,41.6435147054795,-4.6996000369255,71597,8924
Route_109,41.6436309616294,-4.69925403196236,71598,8956
Route_109,41.6437412032122,-4.69891339141724,71599,8987
Route_109,41.6438153656254,-4.69867735702378,71600,9008
Route_109,41.6439276112777,-4.6982964833434,71601,9042
Route_109,41.6439817296474,-4.69811677533929,71602,9058
Route_109,41.644025826063,-4.69799339372452,71603,9070
Route_109,41.6440839562432,-4.69783782560156,71604,9084
Route_109,41.6441501007504,-4.69767152864252,71605,9100
Route_109,41.6442182495658,-4.69750254947447,71606,9116
Route_109,41.6442803851876,-4.69738185006872,71607,9128
Route_109,41.6443405163774,-4.69726115066297,71608,9140
Route_109,41.6444006475109,-4.69714581567525,71609,9152
Route_109,41.6444728061591,-4.69701438743344,71610,9165
Route_109,41.6445489720959,-4.69690441686376,71611,9178
Route_109,41.6446371641208,-4.69677567083096,71612,9192
Route_109,41.6447373821843,-4.69665228921619,71613,9208
