service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
L2A11U_L2A3,0,0,0,0,0,0,0,20260105,20260105
L2A11U_L2A4,0,0,0,0,0,0,0,20260105,20260105
L2A11U_L2A5,0,0,0,0,0,0,0,20260105,20260105
L2A11U_L2A6,0,0,0,0,0,0,0,20260105,20260105
L2A11U_L2A7,0,0,0,0,0,0,0,20260105,20260105
L2A11U_L2A8,0,0,0,0,0,0,0,20260105,20260105
L2A11U_L2A9,0,0,0,0,0,0,0,20260105,20260105
L2A7_L2A1,0,0,0,0,0,0,0,20251123,20260222
L2A7_L2A2,0,0,0,0,0,0,0,20251123,20260222
L2A7_L2A3,0,0,0,0,0,0,0,20251123,20260222
L2A7_L2A4,0,0,0,0,0,0,0,20251123,20260222
L2A7_L2A5,0,0,0,0,0,0,0,20251123,20260222
L2A7_L2A6,0,0,0,0,0,0,0,20251123,20260222
L2A7_L2A7,0,0,0,0,0,0,0,20251123,20260222
L2A7NAV_L2A1,0,0,0,0,0,0,0,20251225,20260101
L2A7NAV_L2A2,0,0,0,0,0,0,0,20251225,20260101
L2A7NAV_L2A3,0,0,0,0,0,0,0,20251225,20260101
L2A7NAV_L2A4,0,0,0,0,0,0,0,20251225,20260101
L2A7NAV_L2A5,0,0,0,0,0,0,0,20251225,20260101
L2A7NAV_L2A6,0,0,0,0,0,0,0,20251225,20260101
L2A7NAV_L2A7,0,0,0,0,0,0,0,20251225,20260101
L2A8_L2A1,0,0,0,0,0,0,0,20251122,20260221
L2A8_L2A2,0,0,0,0,0,0,0,20251122,20260221
L2A8_L2A3,0,0,0,0,0,0,0,20251122,20260221
L2A8_L2A4,0,0,0,0,0,0,0,20251122,20260221
L2A8_L2A5,0,0,0,0,0,0,0,20251122,20260221
L2A8_L2A6,0,0,0,0,0,0,0,20251122,20260221
L2A8_L2A7,0,0,0,0,0,0,0,20251122,20260221
L2A8_L2A8,0,0,0,0,0,0,0,20251122,20260221
L2A8NCH_L2A1,0,0,0,0,0,0,0,20251224,20251231
L2A8NCH_L2A2,0,0,0,0,0,0,0,20251224,20251231
L2A8NCH_L2A3,0,0,0,0,0,0,0,20251224,20251231
L2A8NCH_L2A4,0,0,0,0,0,0,0,20251224,20251231
L2A8NCH_L2A5,0,0,0,0,0,0,0,20251224,20251231
L2A8NCH_L2A6,0,0,0,0,0,0,0,20251224,20251231
L2A8NCH_L2A7,0,0,0,0,0,0,0,20251224,20251231
L2A8NCH_L2A8,0,0,0,0,0,0,0,20251224,20251231
L3A5_L3A1,0,0,0,0,0,0,0,20251122,20260222
L3A5_L3A2,0,0,0,0,0,0,0,20251122,20260222
L3A5_L3A3,0,0,0,0,0,0,0,20251122,20260222
L3A5_L3A4,0,0,0,0,0,0,0,20251122,20260222
L3A5_L3A5,0,0,0,0,0,0,0,20251122,20260222
L3A5NAV_L3A1,0,0,0,0,0,0,0,20251225,20260101
L3A5NAV_L3A2,0,0,0,0,0,0,0,20251225,20260101
L3A5NAV_L3A3,0,0,0,0,0,0,0,20251225,20260101
L3A5NAV_L3A4,0,0,0,0,0,0,0,20251225,20260101
L3A5NAV_L3A5,0,0,0,0,0,0,0,20251225,20260101
L3A7_L3A1,0,0,0,0,0,0,0,20251120,20260223
L3A7_L3A2,0,0,0,0,0,0,0,20251120,20260223
L3A7_L3A3,0,0,0,0,0,0,0,20251120,20260223
L3A7_L3A4,0,0,0,0,0,0,0,20251120,20260223
L3A7_L3A5,0,0,0,0,0,0,0,20251120,20260223
L3A7_L3A6,0,0,0,0,0,0,0,20251120,20260223
L3A7_L3A7,0,0,0,0,0,0,0,20251120,20260223
L3B5NCH_L3A1,0,0,0,0,0,0,0,20251224,20251231
L3B5NCH_L3A2,0,0,0,0,0,0,0,20251224,20251231
L3B5NCH_L3A3,0,0,0,0,0,0,0,20251224,20251231
L3B5NCH_L3A4,0,0,0,0,0,0,0,20251224,20251231
L3B5NCH_L3A5,0,0,0,0,0,0,0,20251224,20251231
L4A2NAV_L4A1,0,0,0,0,0,0,0,20251225,20260101
L4A2NAV_L4A2,0,0,0,0,0,0,0,20251225,20260101
L4A2NCH_L4A1,0,0,0,0,0,0,0,20251224,20251231
L4A2NCH_L4A2,0,0,0,0,0,0,0,20251224,20251231
L4A2PROV_L4A1,0,0,0,0,0,0,0,20251120,20260223
L4A2PROV_L4A2,0,0,0,0,0,0,0,20251120,20260223
L5A2_L5A1,0,0,0,0,0,0,0,20251123,20260222
L5A2_L5A2,0,0,0,0,0,0,0,20251123,20260222
L5A2NAV_L5A1,0,0,0,0,0,0,0,20251225,20260101
L5A2NAV_L5A2,0,0,0,0,0,0,0,20251225,20260101
L5A5_L5A1,0,0,0,0,0,0,0,20251120,20260223
L5A5_L5A2,0,0,0,0,0,0,0,20251120,20260223
L5A5_L5A3,0,0,0,0,0,0,0,20251120,20260223
L5A5_L5A4,0,0,0,0,0,0,0,20251120,20260223
L5A5_L5A5,0,0,0,0,0,0,0,20251120,20260223
L5A5NCH_L5A1,0,0,0,0,0,0,0,20251224,20251231
L5A5NCH_L5A2,0,0,0,0,0,0,0,20251224,20251231
L5A5NCH_L5A3,0,0,0,0,0,0,0,20251224,20251231
L5A5NCH_L5A4,0,0,0,0,0,0,0,20251224,20251231
L5A5NCH_L5A5,0,0,0,0,0,0,0,20251224,20251231
L5B5_L5B1,0,0,0,0,0,0,0,20251122,20260221
L5B5_L5B2,0,0,0,0,0,0,0,20251122,20260221
L5B5_L5B3,0,0,0,0,0,0,0,20251122,20260221
L5B5_L5B4,0,0,0,0,0,0,0,20251122,20260221
L5B5_L5B5,0,0,0,0,0,0,0,20251122,20260221
L6A6_L6A1,0,0,0,0,0,0,0,20251123,20260222
L6A6_L6A2,0,0,0,0,0,0,0,20251123,20260222
