service_id,date,exception_type
L6A9_L6A3,20250403,1
L6A9_L6A4,20250403,1
L6A9_L6A5,20250403,1
L6A9_L6A6,20250403,1
L6A9_L6A7,20250403,1
L6A9_L6A8,20250403,1
L6A9_L6A9,20250403,1
L6A9_L6A1,20250404,1
L6A9_L6A2,20250404,1
L6A9_L6A3,20250404,1
L6A9_L6A4,20250404,1
L6A9_L6A5,20250404,1
L6A9_L6A6,20250404,1
L6A9_L6A7,20250404,1
L6A9_L6A8,20250404,1
L6A9_L6A9,20250404,1
L6A9_L6A1,20250407,1
L6A9_L6A2,20250407,1
L6A9_L6A3,20250407,1
L6A9_L6A4,20250407,1
L6A9_L6A5,20250407,1
L6A9_L6A6,20250407,1
L6A9_L6A7,20250407,1
L6A9_L6A8,20250407,1
L6A9_L6A9,20250407,1
L6A9_L6A1,20250408,1
L6A9_L6A2,20250408,1
L6A9_L6A3,20250408,1
L6A9_L6A4,20250408,1
L6A9_L6A5,20250408,1
L6A9_L6A6,20250408,1
L6A9_L6A7,20250408,1
L6A9_L6A8,20250408,1
L6A9_L6A9,20250408,1
L6A9_L6A1,20250409,1
L6A9_L6A2,20250409,1
L6A9_L6A3,20250409,1
L6A9_L6A4,20250409,1
L6A9_L6A5,20250409,1
L6A9_L6A6,20250409,1
L6A9_L6A7,20250409,1
L6A9_L6A8,20250409,1
L6A9_L6A9,20250409,1
L6A9_L6A1,20250410,1
L6A9_L6A2,20250410,1
L6A9_L6A3,20250410,1
L6A9_L6A4,20250410,1
L6A9_L6A5,20250410,1
L6A9_L6A6,20250410,1
L6A9_L6A7,20250410,1
L6A9_L6A8,20250410,1
L6A9_L6A9,20250410,1
L6A9_L6A1,20250411,1
L6A9_L6A2,20250411,1
L6A9_L6A3,20250411,1
L6A9_L6A4,20250411,1
L6A9_L6A5,20250411,1
L6A9_L6A6,20250411,1
L6A9_L6A7,20250411,1
L6A9_L6A8,20250411,1
L6A9_L6A9,20250411,1
L6A9_L6A1,20250414,1
L6A9_L6A2,20250414,1
L6A9_L6A3,20250414,1
L6A9_L6A4,20250414,1
L6A9_L6A5,20250414,1
L6A9_L6A6,20250414,1
L6A9_L6A7,20250414,1
L6A9_L6A8,20250414,1
